,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
11,Simulated Annealing,313,213,355,215,"[-89.71962283496188, -113.00055715000697, 93.75137924789942, -42.34039162906578, -60.415597749449844, -108.7098970221308, 145.12818896464967, -94.34835034287335, 0.1382046191143047, 48.614265817906755, -157.5088919993313, -158.57429250819607, -173.99412581853528, 142.7088950505751, -121.51396208489321, -103.64905546338993, -19.371892422975094, 140.71351130644666, 142.95391126881447, 99.61839924511986, 169.515420483676, -68.5781166821267, -99.2974143782649, -134.9067273464005, -170.97481851512958, -178.19680552873393, 117.94935486331815, 86.4362891051482, -18.86451873532107, 93.11109520728212, 75.20733216414237, 9.548165205135462, -145.37681685888344, -97.46147863249683, -102.45564090670509, -61.76618607901105, 26.848826981906342, 58.2702459373468, 91.10102199228555, -175.43467943972863, -87.12890759126911, -32.98937294386002, 112.06039700443455, 109.2090075992968, -139.08852189861182, 31.282749122674318, -104.5405905310723, -126.76864284528783]",0.9999680671526083,0.0011049677850678563,0.003089536414544295,1.3812721780423186e-05,0.12457835187483741,523.2119700908661
12,Simulated Annealing,281,181,436,296,"[16.05466711600147, -29.192307476761933, 7.785444433258364, -49.28364208702412, 7.413853820801089, -1.1801572942438772, -12.89370500299875, 19.09926656340989, -16.408440976813587, 5.929243803878272, 50.74490184010323, 13.513913941515412, 27.53797020722312, -21.089115421218544, -21.547715767104343, 13.478289636919966, 63.70151393997113, -8.900467605030983, 14.283159322979277, -20.72974312185856, 25.300558263890824, -3.4890781475680135, -57.343841236136555, 67.42109139169062, 17.688384768743656, -10.977105801536204, -77.60260129843547, 52.87874766909942, 24.332150877416765, 10.785780570074735, -6.59070215683361, -29.121424270344107, 0.39901373889762315, -27.064759536999404, 51.62969882860986, 17.647291882976106, 15.103863263250197, -59.20511428484725, 24.791263016484884, -23.654191911097886, 58.004491413839496, 46.231239105320526, 18.64098554116307, -62.07326393935932, -6.469211571331728, -36.0452468933153, -11.149489512564312, 45.22559791084299]",0.9999680322093679,0.0015809358931922664,0.0038530074081986354,1.9762385911392436e-05,0.08340799427330507,518.9381899833679
13,Simulated Annealing,297,197,480,340,"[-19.055813713165126, -20.86849855634556, 3.4535069584596405, -87.22236217246615, 13.785289908801266, -3.667215829881697, -16.710576643918966, -41.62561241178285, 26.97754775085359, -14.416972040045211, 4.362360097954605, -29.14112123581554, -9.619690483510745, 14.705982338943251, 4.435511874856329, -0.0832807525631683, 47.55676356408388, -23.211370443783004, 6.303798029422099, -32.06556302729317, 23.764180753782416, 33.742991761217795, 29.01985340579386, 14.200570641619041, 16.80093686235547, 56.800616126649665, 10.440612519075778, -72.1565340423768, 23.613650683550684, 42.58038285071306, 35.33098028360733, -44.74924168502306, -6.538241039672728, 43.99833999492, -94.21707390131286, 12.662485199853874, 12.765488412421142, 17.611319637869936, 20.630859398477114, -42.07399333816945, 19.84233566873667, 93.99500740896298, 26.65766082727521, -18.43823107275511, 36.783989545518864, -0.8897422068843076, 45.80618296138608, -22.220959537312105]",0.9999761644563792,0.0013917257892899215,0.0027964584098594974,1.7397153373519993e-05,0.03607947099716626,518.3423209190369
14,Simulated Annealing,237,137,404,264,"[33.96537456458999, 23.44241875823036, 53.80174333624948, -8.122386412295702, -9.975956979904971, -35.18658409780394, 11.786368173471635, 38.405609014879445, -39.3912410063201, -5.15232339751958, -12.47965676250227, 44.595691629769945, -9.585997675208063, -20.222898309490986, -24.134065475653934, 22.101040334952774, -12.368982952332281, -4.127136520577455, -14.002493009427951, -18.754299761298945, 18.61708943611895, 27.18360933621392, -53.268011408184286, -12.924725201396939, -39.99871818381895, 24.36176878341376, 13.063869114711355, 51.350700722614, -3.1707287318599433, -1.5201832409352738, -3.2231565406028944, 28.784534079022645, 87.14410899787129, 16.61791279334403, -105.08088104483947, 13.337978523725488, 8.703967673579413, -25.787820554703018, 9.668040429950002, 23.665145746976975, -18.246502462834023, -2.35359216039997, -23.296493695872222, 14.83782375219666, 11.918051793738417, 101.8421848032534, 40.87826198105482, -8.66852162462606]",0.9999690523356972,0.0015216304115407788,0.0031288961312236885,1.9020992167246084e-05,0.08527903460575341,526.5826885700226
15,Simulated Annealing,238,138,553,413,"[44.8018705832238, 50.23046173428054, 14.540874363871097, 7.2035387828689, -33.29090363269296, -14.748692884634222, 36.4912635347396, 40.200901682939815, 24.12235004231833, -22.869524721998786, 54.49279028925335, -61.926224123051796, 15.333070343646698, -18.53510140448671, -52.303897956965564, 31.526978661259093, 31.819096680550416, -12.761426512248045, -10.59635569143383, 35.929193650947035, -18.73013542921857, 71.77059323019728, -17.003779605022928, 45.85790942412083, -31.658787766248178, -26.64793403855522, 28.573237655792003, -17.084008043601067, 6.8486814098612925, -12.196659841525387, -35.791941828148424, 46.563682567072746, 38.687843825761725, -54.265562098173426, -5.721994781474209, 12.405847023589141, 7.002627088098988, 9.33027455370302, 9.834732793385253, -94.0948478805668, 32.73051320334931, 21.025241663486554, -21.123219495876974, -21.275711648763586, -12.227715041797373, -86.99396489272739, -2.421121591728983, 9.911264231264072]",0.9999748323858944,0.0017851012089522555,0.003294241557386015,2.2314291599639986e-05,0.14346458912659898,520.8493876457214
16,Simulated Annealing,318,218,582,442,"[-15.87787619233351, -41.8216174615517, -13.710599901338167, 24.69948396307722, -16.93836043224546, 47.72087019501837, -46.735586791437775, -7.74661084187324, 33.663061217278475, 56.70723994414644, 17.499098150839657, -80.98529532110294, 42.485742721043245, -73.59190545951114, 19.225763707594457, -40.857778762855055, -42.60436879930436, 19.790506426882207, -21.948170628866013, 6.904241103749827, 18.534160928211605, -2.7137253491343944, 38.93789649792761, -12.129214734862563, 3.0912380965361423, 30.183309941536216, 16.364091897959085, -45.1227000359952, 12.51710628774857, -37.09032773874766, -72.54954074361925, -25.44178579534869, 10.008406290135689, 26.084379293498852, -17.01146228613133, -8.616373070502219, -8.389107761006333, -34.08258918629585, -46.32115466303669, -39.60263065709891, -8.251613890495445, -10.15349604803826, -43.79929076754299, 18.162378064051648, 8.009043398233441, -16.58326422748308, -76.76531761541074, 22.677532697213437]",0.9999717127843569,0.0017254486738238484,0.0034867239492993485,2.156871560220601e-05,0.092318055777233,517.793121099472
17,Simulated Annealing,772,672,954,814,"[148.0616648891642, 90.4507599230858, -16.05537408382645, -37.548003372476046, -148.99716646416195, -109.25500617437018, -130.6748544490687, -175.65280410581167, -21.174399044044037, -18.404434759927994, -87.62377577083068, -144.4521197438496, 164.0889697233627, -30.6473566183395, 35.918432837914736, 152.31863399819605, 21.403176748408754, -129.9108774681554, -71.81420757218541, -21.740669966487133, -177.65169363313873, -79.6689827596484, 104.35728191163884, -24.903566563952296, -23.249993552510375, 81.0954115149429, -16.442059540854615, -136.10618580447894, -76.57246005825601, 134.23117153527363, 79.41258027112542, 146.66618522457873, 51.17653405165663, 88.0054855614967, -102.19877982810834, -107.02633606033902, 53.49164094312965, 46.40098736896249, 121.61007850555654, -173.63143356573343, -4.865984104597544, 78.68007072314646, 164.5211225471354, 138.75702196261102, -178.19850311479573, 17.057139900118926, 23.30614490568422, -139.34356817814816]",0.9999664057126733,0.0011254602432018146,0.0029563159227285586,1.406887161627775e-05,0.19242102601659253,526.1501326560974
18,Simulated Annealing,42,58,600,460,"[9.918915247586511, -172.76823744133367, -113.42924002818434, -164.21166502160523, -106.57925570942689, -157.54631141844033, 106.07068262097812, 44.36702997609177, 105.99860604475043, 66.40547241274774, 138.01328550406998, -121.80419135086024, -32.510472153237856, 24.964747183190383, -2.265190776503914, 114.02019655335681, 54.50908596250446, 53.50245337599128, 10.922765110696503, 166.06529545699232, 23.259481266744842, 14.375939532181064, 30.6434205356353, 23.195385081002996, -158.2109096180072, 88.04232547029545, -130.29965605685885, 166.45503102649712, 84.10404759515484, -68.73203224116561, -169.50063969475647, -62.938361498304786, -60.07937303563473, -163.6196083119201, -107.11627959664605, 71.85479305922595, -120.8371691409609, -117.17133913751917, -55.003385721516636, 69.79158066384588, 48.55000307826671, -33.406571504589806, -88.6853787159252, 123.68408445533589, -51.395075493818354, 144.53125659952468, 118.21238613324982, -59.79020748778916]",0.9999860138508837,0.004729363684115621,0.006694219838233841,5.911746513310011e-05,0.065335940961695,526.3733167648315
19,Simulated Annealing,121,21,519,379,"[7.118419711622447, 78.39879977096182, -22.649829010938674, 72.04387516939137, -28.61676629433832, 16.563962293367254, 15.162692964486995, -29.615462695149727, 25.79394920517863, 24.302415540609722, -23.858109634365565, 12.687708502008341, -49.82955445747372, -101.00290059052955, -28.60985434242305, 29.688606880551973, 58.68409757779918, 23.01772981535856, 44.35828190378482, 12.05508886371717, 43.5753695318435, -45.516744122607285, -71.53294025340726, 36.383462992864, -54.53669522485737, 11.82849191022038, -50.55813002363198, 79.55125638437244, 15.569003484178866, -9.683494344539268, 57.75382212433641, 27.12719457778227, -65.10408045805968, -42.14613893375469, -78.74729471966285, 42.32099039433389, 14.794082580139614, 45.34835768216578, -29.240824134380397, -32.95484534589738, -13.692475200492268, -26.845307427582068, -15.131453098140453, -20.12836683546127, -8.824293345370481, 32.95739680727265, -37.475490281127655, 9.100026825383992]",0.9999766389685565,0.002343950555465805,0.004643762499721609,2.9299808224736627e-05,0.21538955050638875,527.6830313205719
20,Evolutionary Algorithm,973,873,995,855,"[67.11865379296123, 118.30063149878072, -158.6479954774988, -91.7183659788034, 4.176921796546111, 130.21017363185763, -6.03752720939093, 61.65639762977898, -137.2590604191658, -17.309495481882436, 57.048866512419806, 83.27772443985532, -49.57897622912748, -50.08918814517088, 12.308364257620923, -33.124152852355905, -38.712597798221736, -81.25165691880431, -40.79600115155981, -17.17230089229355, -15.613076976013815, -171.78015873665254, -86.25355681503879, 83.01338467015341, -71.9689360676323, -122.43307180033787, 5.853333277365067, -153.37708906520314, -80.6066719316443, 166.33101721427465, 49.60618738035606, 109.53422524850134, -35.12357005323247, -173.591295575871, 150.7985421841937, 163.87318314305458, 21.190295511553472, -179.9264737715979, -129.780354517938, 134.66402829741946, 100.56607559143288, -16.653760867174356, 88.22737917168092, -48.760539043427116, -79.66084978002036, 67.18048270061303, -165.56515533018347, 117.54767275010289]",0.9999723180470743,0.0009916316582045208,0.0024461374948732072,1.2395994291811032e-05,0.1765756302387869,465.0481195449829
21,Evolutionary Algorithm,127,27,762,622,"[-131.19453563696504, 2.2065635097852976, -9.647049757629901, 45.11310556508812, -163.57319727541653, -54.60383767959928, -58.033288487028116, 30.717129884380995, -53.76727000265352, 11.760590005320182, 25.170279608440097, -60.074149051415276, -134.38584524219067, -91.77932174676754, 78.03962915032503, 70.58606641867746, 173.42892597528993, 75.299578549904, 125.605271569705, -86.02833516511514, -78.25332466651557, -4.31298519811881, -145.63442366074665, 122.16915848573024, 118.4356529286805, -118.90798986579826, 151.47395889050023, 112.71158682436555, 25.18496318958762, -127.71594426581682, 124.37330986967135, 32.5432853923553, 93.28513617339388, 168.7593624812618, 58.96894551232742, -151.93816725847697, -91.48648329942802, 28.628242601190266, 33.45939632478604, 50.67853978828626, -47.10355366011066, 81.37481763771325, -166.27976967140773, 88.59880908931285, -127.85894480763154, -3.332966431667728, 57.87391381495118, 50.563211251966266]",0.9999806338189622,0.004073742122272961,0.006944484096991158,5.092236393105538e-05,-0.11414636076691964,467.56811594963074
22,Evolutionary Algorithm,596,496,754,614,"[-35.921246699010624, 40.215510219898675, 170.39783514380133, -177.85397528085647, -2.598635788984012, -33.667244724752805, 167.067477878619, -71.23285370197127, -12.922235665865259, 5.2644410210324395, -163.8630748952712, 60.862092287210345, 36.81574934912703, 24.387109747178584, -99.82249998011763, 51.090648971898105, -124.99038526702094, 100.34053943646927, 160.35830338056633, 82.32285362865684, 159.00309142221516, 141.08329903608495, 116.28327568107579, -97.66533829916737, 82.26311546883966, -177.6654124881038, -168.08301743547764, 120.5110415759039, -171.45399541341482, 132.90927138448495, -5.9971726494515, -111.1065637329969, -95.53522140726841, 28.226778231915006, -63.02245367378654, 55.52772118056848, 89.21445372531821, -129.9661238327289, -161.63950504280479, -159.1112654725832, -18.842786664704704, -145.8218954540892, 151.82637855412025, 110.66564820713126, -105.02718838467091, -111.31128408785916, 75.86767007729495, 17.93414785821625]",0.9999695676543351,0.0012776389824769772,0.0027981807739819106,1.5971084737118144e-05,-0.0023502463836133723,464.39842104911804
23,Evolutionary Algorithm,58,42,710,570,"[-103.85832023242452, -33.33098622995374, 118.65998654060718, 178.43906025804426, 43.18920156586108, 48.78638063619343, -27.01021191918514, 0.4535634916367144, 171.1904132163147, 29.478718035666958, 42.508781350057546, 3.863447189375023, 169.07057152463705, -111.65072560903461, 1.8561440966427938, -177.62045947541344, 73.21760221549718, -68.21188855574688, -148.06199423284795, -34.977688140309056, 145.07973407453886, 119.03543354050089, 160.64778790927824, -10.649825088745303, -7.571886551702647, 165.11109922521473, 164.40876658807724, -48.34290529820882, 59.819128137531436, -69.78053546982392, -56.62137685657929, 174.07193958229442, 124.30199839335393, 85.76013827890819, -64.28544052998369, -134.0634634663445, -83.82774049612131, 165.1228255183284, -85.7312087799368, 101.41721076085167, -138.03426984803326, 24.040708246820373, -13.48605995743796, 39.15418156402632, -12.580188666291718, -96.69796285648158, 136.4729208258438, -49.53979521535817]",0.9999861132698897,0.0032745146017987277,0.004538772979653819,4.093197408199356e-05,-0.2169925653530466,465.5449161529541
24,Evolutionary Algorithm,287,187,955,815,"[-178.69459611816632, 113.66712373523853, 178.53022897589557, -87.91662526115795, 53.81593869983783, 32.237420421915004, 38.45292039756919, 65.23986322110824, -116.09106525548964, -4.26629928101039, -117.76878483777655, 24.517660387194155, 163.30612953813522, -127.25437446736362, 0.6955176391627731, 88.76516304078308, -108.58130833609201, 118.0963647259307, -145.7983396123296, -27.163424149693867, -21.068258856357374, -22.392466841563447, 98.84097728040888, -45.54299149114479, 99.33338082343516, 104.61557868395596, -119.85830683467243, 171.5370593122655, -90.7062695168356, -20.16268008842485, 141.90543429735578, 17.930136976493827, -138.6872732839035, -138.81835227282966, 15.270940546747369, 168.33584241974467, 163.26910217794278, -37.984085167736595, -86.30488652094454, 12.432620654904127, 172.14331101758916, -141.934178793613, -48.25484932991537, 45.00790765063795, 173.60223348900888, 171.03806708267842, -148.6345346093753, -95.60916692057262]",0.9999663426981389,0.0038084585782295712,0.006579345071329547,4.7606527039351246e-05,0.15394074887245238,463.3946588039398
25,Evolutionary Algorithm,331,231,772,632,"[-173.19830166110214, -12.984368766313423, -0.9316708800338347, 155.22381907088197, 102.97413853913594, -144.7808422297935, 157.1518381705797, 93.79492553823746, -55.226568462251635, 145.37831010433882, 32.97962751959554, 90.41432574259449, 6.444516250869015, -141.63525540275737, 45.3260398095195, 163.254273899363, 51.61347047229867, 56.80924754948134, 116.99836266155489, -172.85528960917463, 70.19462373165922, -1.4527953665698021, -28.134687203147735, 125.62095026245595, -16.17446731907691, -29.015549187077852, -94.423821099442, -31.57731888898948, 39.720556143738605, 79.69248270815291, -144.33715083720975, 177.3120354016139, 89.66627982834609, -135.13268258890594, -70.44718690125939, -89.55361718622456, -102.4646986346415, -23.62951478904023, -20.984873299737757, -42.11459553730799, 168.5868617044456, -44.16293877068097, -139.67245675498268, -163.69990832727112, 86.30692711386871, 75.41451802448495, 92.70802708307974, 109.01290045591747]",0.9999762302924429,0.0015742077715306853,0.0029745033116625732,1.9678097036983948e-05,0.21446379283505337,466.77758264541626
26,Evolutionary Algorithm,624,524,985,845,"[-15.130780599551628, -148.21556655197645, -174.5463715664106, -28.703317900990612, -175.85426566080457, -50.37982379739293, -57.60945255617497, 151.10048653297798, 123.88816246823717, 76.31259576468887, 54.19450237965515, 97.66529235619316, -129.6623365508283, 118.79745205493771, 67.5341849616945, 73.42191770168535, -151.98520466141542, 103.67420167690182, 131.18126951867941, 159.96672996585744, 43.99914722238765, -142.5016415982285, -31.717658781600505, -61.36235132086168, 78.49079068741042, 88.49116720404635, -28.217827820037883, -65.49180811158959, 174.04514243391822, -36.52962484420303, 8.928045399245462, -21.69309628104142, -14.368018085717296, 148.8292468890698, -172.44994938088595, -152.91420204273692, 163.62099883581953, 162.7305140900932, 94.3139520932055, 160.75449159582348, -128.15951209219685, 164.76578740623637, -39.269642608200286, 80.78112016128438, -144.90373000291618, -22.0819486718039, 89.26366650976342, -110.75937988945788]",0.9999670792821644,0.0015536514304888742,0.0037927658887293584,1.942128236389479e-05,0.08895886400220074,462.9118082523346
27,Evolutionary Algorithm,406,306,498,358,"[-173.1582741202948, -63.69734458640136, 2.9246099452559804, -158.61592530706378, -84.77484706685304, 156.08771821237616, 90.19273618598362, 51.220505679639956, -171.19839327603032, -143.9694490794775, -79.81966286248819, 17.537487800891256, -59.16256499370671, 79.92233059833069, -14.899015914330306, 74.61468982477291, -81.49781192981911, -46.958673434689956, 33.799235914211096, -86.27490237833642, 133.10364791471875, -1.1832817960333557, -131.83756052061608, 156.62801974173107, -143.07276706859938, -120.15280796954195, 103.80881654030924, 166.39623250882443, -97.44303935077751, 101.10247288731807, -66.24980891715785, 47.90965432551181, -97.13573553672111, 18.117705730766176, -1.3688073015876796, 159.11460143966815, -167.87703299603822, -173.11968430570914, 47.19621769334475, -62.34365398561093, 83.27774968166784, -135.49086254131134, -146.78292935479553, 126.11629668206234, -65.4065255709021, 172.85060409881868, -100.36817109659175, 130.06451664393836]",0.9999752020565577,0.0011029462330043316,0.0024912677237736033,1.3787407147208513e-05,0.08574253814602634,464.46272444725037
28,Evolutionary Algorithm,679,579,855,715,"[136.5009164040112, 97.23531914483738, -63.47345398783169, 105.8252836328474, 160.4539540827164, 81.7061817725695, 128.9436934640862, -148.13567726058307, -49.59217645298412, 103.94308626625394, -172.0094647025055, 79.98899573540928, -55.283195777084, 36.58318563164207, -170.64634889171538, -39.46539886851642, 46.26457481304121, -170.8057745458218, 176.4789031344572, 35.693126014065, 126.07586031644843, -37.79160789859628, 61.07698800953375, 63.83052629395638, 77.71433582574934, 168.60939747088554, -69.79934922058469, 21.11587135766183, 58.46300392296217, 69.67190383184129, 4.683167154734633, -132.0310921331477, 120.39799293299154, 39.910004294406946, -77.79980531879373, -29.514333530527267, 54.19401420220788, 13.95487168613704, -102.54381311694385, 118.90960185183224, -9.258362231261515, -66.96352670564394, -143.05135175641098, -83.73671030253185, 168.04928663562123, -43.963274609380676, -48.52506369332713, -162.79765488188968]",0.9999644833512773,0.0012504408950917423,0.003420521368152264,1.563117302503419e-05,0.08662477651043622,457.86432933807373
29,Evolutionary Algorithm,72,28,384,244,"[-73.25235423417311, -157.8076316085938, 89.93128649650009, 165.00918235669468, -33.52625216667175, 41.17173217341664, -130.53244999496485, 119.36243665870643, 2.111099592449932, -117.64385385960486, -31.1864638451693, -82.65881621327962, 77.44133520581147, -48.83293597930921, -83.851295751866, 63.15291170931005, -17.267458883109413, -2.076145795205747, 106.05932601462837, -169.61841503125234, -1.0124093979826227, 96.28599104740033, -168.3264174344666, 89.29179832864293, 48.242827526455585, 96.17234934699053, -170.21266575531084, -133.76582065526065, 149.3337418404489, 57.455791554902675, 179.49478914415005, -62.10458073501094, 79.06630503614093, 80.52670040983827, -81.76373174267344, 174.18017486238756, 13.381571785647708, -37.96582183654604, -55.961308673769324, -160.98995687662793, 30.80651328911918, -154.4527373637267, 71.71878126642653, -6.77976625296381, 76.77478340255237, 47.31629758231858, 162.0696369931444, 171.86530686692714]",0.9999794034643683,0.0038395283239272735,0.005164997181617393,4.799464812834122e-05,-0.13680264271709694,464.5046217441559
