,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
11,Simulated Annealing,184,84,382,242,"[11.340038827900258, -18.3052110085639, 28.715478831421066, 30.42662568159586, -24.87425330103205, 38.21971653485399, -41.03068125071571, 38.970196114186436, -29.25433718157656, 14.039058914715913, -42.48419260242959, -32.5000160938933, -101.5739665397331, 15.277184325677863, -69.46507793709775, 13.826081382468809, 50.59483524438033, -28.006342227278658, -37.307048439311174, -38.41159828413574, 25.147508414620667, -19.000026809123856, -41.7554444178192, 20.392583042760133, 5.965849836463033, -32.75669395869758, 43.22227551094284, 3.9977647821477302, 39.51465609118139, -14.87975176963579, 43.05900512495623, 50.87576822451728, -83.8232203021316, -30.322200818198443, 12.238424322361361, 24.78814114142358, 7.51222700069582, 32.059387223148335, 4.980679837365019, 59.8481144569175, -4.413719033944073, 22.707597050087283, 32.061032555523035, -42.914573799124256, 47.37046798408748, 49.5906588526906, 39.27612468496312, -65.83226428979154]",0.9999587120402366,0.002101139548661498,0.005016102696777538,2.6264931803091448e-05,0.06188923133393705,135.33611297607422
12,Simulated Annealing,176,76,325,185,"[16.819930088446043, -31.986368453344944, -44.95772257963337, -78.14337171359337, -30.06449885285396, -14.575812312073417, -30.585322727564638, -0.43198287580503053, 35.94073455175986, -25.212235425345757, 5.356150642160674, -24.92940752236928, 97.39578169796997, -87.59824454485891, -1.1278155215500834, 55.9035783877386, -13.177494787154274, 8.697851936897502, 45.098822370676295, -39.01573435612026, -49.73258659114123, 0.9822442387436218, 32.423767168178486, -18.09955512828183, 39.17444495442118, -14.496978614393688, 22.035421246938864, 31.192599602579463, 7.43462127760463, 9.879919307682938, -6.5382479002431, -12.76980393127118, 52.37409687802624, -21.93613052117667, 12.706034643061425, 78.50464447876426, -29.0119060816373, 47.653654954196554, -86.97491748605356, -72.55178768073837, 9.871760047055183, 55.79639464049769, 13.209005682384646, 2.6761305975559155, 18.516579187952654, 25.008505590648372, -34.06435475474009, -36.73039919660585]",0.9999717810046271,0.0016085621367286267,0.0033872164961033773,2.0107574848992022e-05,0.128940235338871,134.6465904712677
13,Simulated Annealing,221,121,382,242,"[-14.565854913403065, 6.060041221299603, -63.93430072002597, -25.755666371851365, 7.351716796033231, 8.535778159300635, -88.4826969268592, 0.06303319975258394, 9.122946685009996, -6.3939190512290995, -47.54868499893133, -57.708042898441704, -10.503789980401596, 24.89766422529221, -46.7219393776737, 7.502694457872283, 18.803104393323245, -53.37345434258949, 44.86102730616494, -61.95020251746532, -30.080552818444247, -36.6492891335669, -42.857094319571694, 10.74352252321753, 50.444346337894714, 47.101922922867885, 18.704373685532026, 25.018465488511502, -5.06305447757711, -41.87444347590804, 12.792584330242708, 4.881925904548158, 9.161375956667337, 25.20356170260801, 48.72644268418378, 39.59752507548513, 50.40257231868819, 10.660307721704928, -49.19856721014053, 39.89797961781842, 42.88285659076391, 56.95021393741104, -56.468449159807065, 13.708355863165677, 38.62976296601937, -21.223882390302343, 19.93035793449686, -6.648088792853125]",0.9999693445155818,0.0016202197778814784,0.003763620819524569,2.0253328867015587e-05,0.015726918422073972,134.3130156993866
14,Simulated Annealing,120,20,348,208,"[37.999742183612994, -17.636225276982284, 60.28027268445377, -33.12648520993627, 29.768262539319757, 103.96094196047468, -35.740894630258744, -24.813404634324776, 3.0289165612011777, -26.182913402064017, 25.990036515741483, 9.58316419380499, -4.394742290755971, 76.16042571852245, -5.40793638832884, 32.31255554462821, 63.487896222891166, 47.98371973689889, -49.71418355796512, -14.781686763408214, 40.03051928161413, -15.824592939138359, 16.4975835998947, -4.399959314491068, 23.442792721756515, -4.253609340298777, -30.5245166722475, 37.09278187612961, 28.523285451442085, 24.811766953258903, 21.167324923512687, 23.849666610372125, 25.476809944076848, 72.08263999695598, 67.28962841197895, -64.16702736375983, -25.072812919684022, -32.32847899930645, 57.295405285116715, 52.294504397816695, 35.962594523138485, -35.76310680883402, -47.95550278398369, 0.8704944420779972, 5.090425301803509, -40.25234225731123, 71.88886371032318, 20.20337058037674]",0.9999766000482467,0.0017579082244386277,0.0030712442188331997,2.1974329326789838e-05,0.19425151049706627,134.69290924072266
15,Simulated Annealing,478,378,706,566,"[-5.250268290012903, 35.064624038814415, -33.93987418392662, 48.79375475117096, 41.0473446010547, -34.24603408990221, -60.30945824910815, 48.55970754009631, 25.32731805548274, -21.56011504166732, -9.574599997340497, -46.3354715789298, 28.24621916404694, -11.607208000878737, -26.315580898746422, -34.054623565000995, -4.5484316475182816, 2.751474623831104, -69.79643296864148, 63.880426412918254, 0.32794094016449754, -35.90368144741188, -40.28169678461831, -54.37036635413771, -46.8042278352195, -25.98579031808341, 10.843772736322244, 6.2019596234480625, -44.22433784542281, 27.52013878136812, -48.244078259514055, 38.458191435509384, 67.47521819429491, 6.443032963344647, 69.55655816588941, -26.769509464212486, -30.73857151518625, -58.08119241765277, -2.664916350311397, 22.498645838851907, -24.261126757484295, -29.999403956573314, 13.877795116950665, -22.758036304095583, -17.916523604319043, -24.996571740179828, 56.50756017428353, -38.9966750547632]",0.9999739650279073,0.0012072279253819338,0.002631625167624879,1.5090917416522797e-05,0.11231365580362954,134.9394154548645
16,Simulated Annealing,135,35,300,160,"[-38.28947569985748, 25.768315711871423, -8.184002675333712, 12.152369435433695, 28.31514711558846, 6.631986863158687, -26.445291656191426, -26.179831133685543, 36.6467926842784, -36.16905111343632, 22.680771745517173, -43.87548309408119, -70.72576940462577, 23.79722654511496, 2.8795041938724033, -6.480306730116727, -21.978923731477042, 16.928456139397582, 102.42236282468195, -28.392995493290535, -18.428068491309908, -4.468654926978385, 56.932883968908556, -17.362677067844373, 12.960795950703634, -28.36443368871005, -37.848390041273426, -1.9013642767362162, -9.944571475783476, -42.66017767822731, 66.35647438448675, 27.507688242150476, -6.657523428737128, -21.4031410950789, 26.423619175222, -77.66947285660162, 10.443711775918768, -8.886057334770854, -46.21116016664969, 40.367373192148285, -51.73791956511735, -20.77505252418301, -18.93649215089732, -41.420138156689006, 16.52888129063546, -18.47119698406241, -42.863553177018005, -5.732681048321075]",0.9999654336505605,0.001813387246026347,0.0036327684263722263,2.2667854085459056e-05,0.29567108841065726,133.6846399307251
17,Simulated Annealing,251,151,499,359,"[-16.25308901631608, -96.20187929283756, 3.254386808495318, -62.66520783338495, 40.72724643163225, -41.69503187536447, -38.172927929942716, -1.649618962689983, 28.53952168076083, 31.272127035965845, -25.888268214993744, 2.282301870670191, -10.276351647756961, 28.928836701804144, -11.929168139076143, 16.681290001996526, -16.306355603226883, 57.1690813563042, 103.5647140259976, -20.54323162112242, 28.48460478313242, 35.1543173352378, 1.4201412896783008, 12.512730111340696, -35.04823917943494, -15.690917610704597, -26.93633715201229, -6.148522390539516, -28.220934308335295, 67.5786810066485, -28.99121146970464, -34.11838408441711, 4.84089754497642, 8.468144323711972, 4.509229139225996, -6.259136343712767, 44.069303276724845, -25.434444914839975, -57.14426856408646, 20.021380541934466, 13.52772390428007, 38.71991766670858, -0.3866506107935473, -22.695447325363723, 19.849803662876923, -15.641619293280844, -7.107027638201505, 6.978415530640393]",0.9999724490639826,0.0014908573696933067,0.0037312603773945042,1.8636378942265813e-05,0.10399528047034709,134.7222056388855
18,Simulated Annealing,163,63,433,293,"[-58.49230350611777, -9.055161538086322, 92.20706783417714, -31.40164456604122, 29.335657513756313, -21.49806345554872, 24.70294054383741, 36.59636085275859, 24.246897657222966, -4.215496295353757, -16.697078181661347, 69.08030088691915, 2.0228533120857892, -41.80711670547601, -4.930712940936571, -64.87695170205399, -27.8659796983153, -11.035940357663673, 18.875866174596172, 3.290314297139772, -10.332024936857206, -68.13060822924385, 26.596158533252346, -25.094864452440824, 38.64242900479886, -13.241278977438625, -41.60293820947614, 39.43897827165862, -28.148916450947436, 48.86365007975769, 51.098940005570626, 53.083913883731256, -34.26603725727082, -6.456297871381255, -35.90074731731788, 27.87465031487787, -14.601752183338624, 24.153882170618253, 19.691979524396668, -34.595379505606815, 47.080466696839125, -43.95476260792441, 51.47660081411667, 31.27297855004944, 12.357510300922844, 0.7502412750091267, -38.63774575081937, 5.442543340596536]",0.9999736144432024,0.0021933592312658825,0.004653248835274873,2.741763833340976e-05,0.10147503632060831,134.042156457901
19,Simulated Annealing,119,19,257,117,"[-11.41444335604147, -82.90035317903137, -17.418469589227982, -55.22722384532066, 13.923680426150504, -60.99976157587528, -30.05530301714252, -57.92410801848308, 14.037917047046903, -9.868414333590028, 11.609853297572277, 68.039268914026, -16.646383853324522, 25.763422809937033, -0.8111522338378239, 11.604890181465466, -38.55142960182338, -45.362874784159494, 1.7446837328678455, -2.5411951166528652, -32.36971812801668, -22.955054095484936, 43.008468183913386, -5.129633541900017, 7.137730486269415, 47.71792398379422, -44.80031634567467, 1.4081820681763892, -15.271377696268077, 28.788909847368323, 28.706694295790374, 12.689484695165888, -36.939172393966615, -19.518068855795267, 3.6385300571166304, -22.468444619693884, -16.30406593648661, -19.813577456728513, 21.5441924773568, 76.00562411218986, 1.3827727513115775, -17.169660314182153, -18.620305410314995, -31.642995379231788, -50.517552298207065, -37.95295231831746, 15.839035068210482, 15.016769924498673]",0.9999738818530114,0.00191461609210819,0.0033722971860308273,2.3933302561406992e-05,0.009569005302072293,134.14308619499207
20,Evolutionary Algorithm,43,57,353,213,"[37.424280085135905, 48.353854322703796, -132.1054083832155, -142.32852239378383, 133.91568563122934, -64.08996515667981, 95.05633353192104, -37.784615244672125, -112.92470476999738, 119.54982241165283, 107.49676284929416, 71.56789577838546, 86.46201449378623, 79.97605496934852, -162.8285037899585, 68.0510980291003, 40.46865747907859, -160.60928667296804, 22.170594802346386, 71.69900241218707, -176.50050194447556, 139.49443698746308, -44.26126238853908, -102.29454113850721, -25.043620893643606, -68.98509374622684, 47.60628131974849, 90.20102497723121, 25.779503814760602, -137.51871120646058, -105.38928124424983, 91.56338138493095, -171.92466935899137, 55.53103250814354, 119.82652689059842, -0.8305344214371075, -69.99252659568303, -90.89447363178306, 113.35830763449025, 49.869230444222666, -174.6657215115761, 0.9113493819611449, -101.89650143055627, 46.83392373481371, -168.00218028100477, 40.34255497605673, 164.52855575315886, 16.710602375451316]",0.9999848644099023,0.0033680869479818893,0.004667728583090132,4.210161816495351e-05,-0.22649501648822618,119.9943778514862
21,Evolutionary Algorithm,102,2,178,38,"[162.02777303581001, 64.46436279960864, 76.93403726316137, 56.293336614860635, -36.36302746017631, 93.62705777966812, 8.508454711607897, -71.4974808839083, -27.630880350158634, -134.24224521364675, -104.80898603016345, 68.42369523508762, 93.05882402018352, -153.57133433204706, -37.25042102927736, 112.11360393065809, 29.299438989129015, 92.62683204307592, -145.41446902706804, -107.89957634894064, -154.3635012361029, 37.27781234695561, 82.05538045458707, -94.69118238245329, -26.550766526532243, 33.33627382401028, 76.5980785026996, -35.27346730408817, -80.93331597230487, -153.94226103813006, 38.184463843397594, 98.27734979483319, -28.143187223409, 51.59076502424341, -133.67977767257727, -31.815637992903532, 72.91154725114808, -139.6350499984294, 47.40796833347903, 42.44469040012231, -164.84974681341708, -32.95535068395361, 103.85396803858805, -110.82811075112946, -175.62775975446675, -121.31178035915494, -130.10556678533908, -40.11138669063183]",0.9999686066585992,0.00165368949334758,0.0038188709480644185,2.0671731294473375e-05,0.033197602006777585,120.55932378768921
22,Evolutionary Algorithm,281,181,416,276,"[94.55838312017335, -142.15456928107676, -56.8752095996511, -69.09280572170475, 24.936574662267873, 109.5256050566087, 104.97858062342459, -154.1646129871126, -173.4451513830281, -69.80409558390238, 17.86814767178086, 102.62460857982921, 101.22352500600499, 144.6162352068339, 120.96281159248093, 67.42206193929599, 128.69097167105667, 107.46637882446953, -155.34462315839062, -31.1934139403657, -96.56221149170325, 14.703245113101218, 121.42113072033646, 132.3596634609106, 99.21124176559204, -52.55835910572779, 28.259431721430133, 89.8849286755231, -131.57673858751397, 128.33264866388822, 161.9557545398216, -27.111730961927208, -138.85119826120285, -172.86066732721403, -45.501024904443, -146.91338571835269, -132.33409023253103, -80.76119863043553, 60.96041395467486, 122.31804713872947, 19.020481865487767, -82.39892858429417, -175.1742228304002, 179.54256881822818, 85.23118857934503, -36.66223687506914, 29.380237572304424, 118.68779597298311]",0.9999670674850301,0.001156634161209998,0.0031211173280284894,1.4458545832285262e-05,0.40272510494758906,121.72685766220093
23,Evolutionary Algorithm,67,33,897,757,"[-56.34401563912377, 108.6459779010558, -17.23536589653682, 170.81042126455986, 81.65054667146109, 125.03044751069842, -65.26299192715162, -37.615947869677086, 65.90723781453835, 136.50695657620975, 179.37806746922143, 0.19332169449361913, -81.71619808089082, -133.98949423377832, 21.512357277197992, -175.7022029556137, -99.56011978107989, -4.058434742106812, -108.92484059995823, -135.85843825315595, 83.8902732341524, -104.75429090384311, -82.87757777501797, -161.32049188112205, -157.1384169254385, 166.02640765949565, -169.59515296982568, 140.74291166629263, 11.187452603115503, 164.3376665676288, -155.43548183090337, -140.58907755656017, -2.832367643663872, 11.577221306089513, 74.86770309219065, 154.89252402848985, 75.73670834117343, -172.64531569198957, 52.02798020614756, -88.99103381618568, 121.5554207619877, 117.90458506771586, -86.17172375339591, -106.38328897417692, -40.60406111598709, -146.19198995073486, 73.50342093771329, -170.6569971172526]",0.9999865107501081,0.0035387107685285932,0.004601410556679412,4.423448231694974e-05,-0.16138619408917715,121.08498978614807
24,Evolutionary Algorithm,348,248,409,269,"[-73.63955918407106, 158.34483385594575, 132.49704516206606, 12.317394298525784, -130.74342305077514, 74.1873403894437, 42.05183972725152, -155.2956775903028, -164.84191710940644, 90.47492253468414, -161.71796712378148, 65.97507001387143, -159.99943703350453, -95.53622381402573, -109.07595461841183, 21.115183651321388, 118.81215981572234, 104.76025604744387, 122.46514356822257, 34.703918269153434, 144.45659773715863, 68.18299261927652, 164.9007314283972, 4.744932070880225, 0.8954673563796973, 108.90903919991734, 97.15729924848722, -35.73890530101622, 165.5252968694012, -104.96841329238525, 59.65025456134549, -172.86137834394847, -141.1839206715911, 5.372935394701358, 123.27972115289822, -170.41474281476064, 83.61140939956425, 45.0638490643141, -24.18631890952409, -55.13724857743466, 98.00266605135153, 138.10246087084397, -139.52728143607413, 59.48185916476072, 123.45759038395158, 5.365306365000038, 161.86719885370314, 14.422712616298327]",0.9999708220482684,0.0009102453574693452,0.0024586654385646643,1.1378615945889989e-05,0.36905297091787537,120.3997802734375
25,Evolutionary Algorithm,512,412,944,804,"[127.15386610207645, 62.544854998024476, -29.707959235508326, -102.4453366241191, -106.77491584329562, 144.93928543161667, -174.7163015522927, -166.9767967504765, -76.90093100551911, -27.634401004569497, -154.31470744822667, -127.72645162926177, 113.86758744844195, -70.5182587505678, 79.33373788762145, 86.385668849654, -123.47784533607327, -97.97480587427563, 6.5629994694307925, -110.47245546679406, 145.69971433966163, -172.3006702297718, 68.04426272396859, 167.9029850798853, 40.25186759888996, -68.02175715731494, 153.71139508913836, -26.834629848447946, -33.72083347440062, 100.31448879699525, -66.6680840529063, 82.65291569308528, -87.33754651096893, 42.385593989678966, -159.15079103212534, -57.216580419813226, -155.62841736033906, 164.39601175328113, -75.98303523456596, 131.85437191746416, -23.20975835431966, -8.334262598992154, -164.50830827623074, 29.58965355273409, -163.50974836112783, -156.67780673451367, 8.729503848781661, -90.50076551834663]",0.9999695013227012,0.0017014278613108522,0.003508788633687679,2.126840227745104e-05,0.07586238767690132,121.11078381538391
26,Evolutionary Algorithm,383,283,757,617,"[34.86732555871686, -6.2562362945774055, -1.9411909774078993, 95.55545472627756, 135.8395050021847, -13.25125558814372, 154.85505261019563, 23.84139050618481, -153.75195330213649, -150.09801363175632, -46.81476438756127, 145.18472679095163, 8.662367246949714, -36.7204376337007, 88.62281379355198, -145.3284176910286, -35.64547068838692, -169.86348148219946, -38.35334027565915, 60.86639798771793, -140.56258934198212, 150.3522077527591, -172.15011969925567, -133.67849947298862, -21.412639474525292, -139.62686513935913, -27.219838722265166, -109.00094127170303, -151.66530285488977, -118.38206330653338, -82.51984823902062, 93.99143121676445, -38.28427496896276, -13.332097502261917, -25.913927810748277, 37.7093970900018, -63.05532943361405, -40.89459695297094, -137.47331234380795, 29.818195888806088, 20.026245971581233, 83.68720622967885, -163.0446301837984, -125.36971813345048, 30.445182555440624, -86.53350285553532, 120.79010840799037, -96.57173046753866]",0.9999710904944783,0.001749098980023215,0.003355114361379887,2.186426065720507e-05,0.2055655167117607,121.66181898117065
27,Evolutionary Algorithm,98,2,310,170,"[72.85461920288986, 175.33979527104418, 120.34659611180632, -147.22516445932646, -81.03236016744658, -127.55854757540655, -91.82038880414541, 136.35244014681422, 109.18599078434107, 48.20805637082515, -161.48321847050008, -28.053258476942574, -169.56858156588908, -28.961746009349298, -104.15418283904003, 97.79116415767538, 136.32398599701213, -125.11839517325389, -101.05156826494688, 128.07871126698615, -68.0847752333059, -13.562443883654112, 17.363657465299326, -131.98386576971595, 0.41996162318142183, -36.35961615215615, 152.4368479404814, 66.5561363998273, 88.4241599525821, 38.06573722762619, -18.814160812971892, 48.57988008254492, 87.88371227076647, 16.163541801843934, 166.28224104354337, 177.80964852522106, 165.62931309401836, -110.10463739195583, -52.65720334976359, 154.8669983104819, -34.26388663805619, 36.74911415633369, 134.8414199775088, -177.3913177348646, -69.6125271617796, -152.63959142569962, -151.3233341632184, -16.09478077640142]",0.9999664050278719,0.004357158274312193,0.00732561176750159,5.446531652402916e-05,0.03364097216975911,122.11648440361023
28,Evolutionary Algorithm,560,460,839,699,"[-127.31961601807782, -20.938285006503435, 113.38338990746968, 95.45310025025509, 74.71052184057413, 25.990990426124313, -163.02834190510777, -88.14020294105161, -135.9801269158856, -16.21487992925492, -100.96851728701657, 93.61034834734869, -175.3474196754678, -95.42329710396315, 111.34181004300495, -13.679293366182918, -9.317683034505677, 8.938272945205597, 144.4576617374825, 54.19623294845323, -57.261279036107084, 74.67040162845771, 23.0106551753548, -84.21347391523994, 102.22437882615361, 80.77863588919149, 84.14326489063262, 2.771705337481393, -20.4750280816462, -128.03177901065567, -131.231455382442, 71.49109328065194, 97.72744394733621, 69.4153665943854, 45.42249526503065, -3.153663007102722, 26.602649581454756, -125.75907914309796, -113.94968569755875, -25.726520662212323, 25.73483466504348, 114.93704398528376, 42.04093338947797, -84.80378184298955, -43.31989762730154, -104.48511720557222, -159.41919565385302, -99.32607511681024]",0.9999714223913972,0.0013469431141857056,0.002955313338487532,1.6837364839889936e-05,0.052741030806038605,120.82470679283142
29,Evolutionary Algorithm,102,2,284,144,"[9.352120599130643, 87.91770115747192, -109.03862566828329, -142.14949568371907, 174.54002763584367, 125.51551539174739, -129.66618524588026, -121.9552178366526, 9.050331483913823, 23.427739663911126, 45.05008886085193, 38.522614340144116, 47.23598639801182, 36.85145151443817, 70.74976624155292, 161.60608538834242, -28.575271774318907, 157.23143258010725, 45.45206014505271, -95.69356236705917, -112.09577897381412, -68.4321401291464, 157.27938223943778, -13.142515720931698, -140.60121415687868, -127.57899005323281, -32.436044227566555, 26.773768440745215, 0.5061714112850098, 152.08157579114368, -144.8441682050131, -109.94813235139827, -172.6268498820182, 143.11392924484198, 58.441778494891395, -61.52027555193918, -105.86586948031305, -85.54686899172154, 14.657707443991058, -85.31462157490974, -28.475379737867996, -52.60812235741835, -113.18649609851869, 6.95632698918709, -179.5005508729321, 131.24993495947228, -54.92949277015774, 168.60183073010285]",0.9999765413035274,0.0021127371389108402,0.003964650869670185,2.640981127097131e-05,-0.005773939034549636,120.99316382408142
