,Methods,SOD,SOD Error,SDD,SDD Error,Rotation Angles,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
11,Simulated Annealing,238,138,609,469,"[-37.38317402595851, -54.16214586492605, 63.279714320955065, -29.589131219892735, -13.609181141382365, -32.01700718045626, 56.56771475730439, 23.12403642597433, -8.816175239217955, 32.52150275337394, -56.67158375371463, 8.817608269449282, -36.62284801928139, -14.673208783041124, -9.481277857710095, -4.410064619673143, 25.781733723237167, 62.841976502503755, 31.486990915354724, 12.545228584497256, -8.366569485211041, 14.019075089135093, -17.881325775499267, -0.10605114546924208, 94.09724528061113, -3.404056951130649, -22.79061925624718, 29.34440366885417, -5.709452666649694, 9.620401425098958, -15.199192426928619, 24.74895687786153, 1.2234978547166335, 0.22691351893913478, -45.65067914301631, -57.512222525407566, -34.89563401072311, 8.501047810092802, 77.79279903770447, 17.162195023716393, 5.377274077344037, -24.066637074243275, 12.998982725326288, -16.295863291419696, -61.90966299371131, 30.365680950063886, -9.030313868640649, -1.6923408689751296]",0.9999740646948051,0.001974443982665737,0.003739893165804828,2.4681012044650707e-05,0.1265283378711697,446.12918043136597
12,Simulated Annealing,192,92,382,242,"[2.003097249953352, 4.883672514032389, -43.95814145875197, -18.65215898484246, -36.25018912159613, 15.930813507128056, -21.316677673566023, 31.267853119217218, 99.65313994255905, -7.049289345627436, -11.036157922601312, -18.039898755615148, -22.030733772362822, -27.34867685828022, 52.72523323064807, -23.926316525974407, 14.724617365163013, 1.092167725922663, 16.0274114282973, 63.57870270173636, 31.716606295667297, 10.435567218382628, 42.573360072631345, 81.3451454261136, 25.221054427836183, 26.77792509701387, 19.04415278543824, 31.447595409700373, -50.08445070965141, -13.882764932047422, 62.87460522565503, -19.566543826144045, -28.0186302812726, 20.896393486598207, -11.545265653571128, 1.2918972516957297, 16.95716025221496, -50.014897963823294, -33.935143000957936, -33.02687860324454, 33.291276935021244, 43.3494243359141, 60.93705841083873, -3.981533462111252, 49.99822216187857, -11.414585127265362, 47.098014462194115, -97.07012246013996]",0.9999631914062161,0.001908400202713286,0.004132631829064043,2.3855720154875117e-05,0.26874681008074175,444.76723742485046
13,Simulated Annealing,279,179,526,386,"[4.210165863173833, 62.10592569430332, 10.46525751198774, -51.62730483958701, -22.996193314465984, -28.685737417197117, 74.57062291018292, -37.69590478103317, 57.09253054735777, -17.23843011657991, 31.101739939913003, -49.15455499791092, -15.811664062423725, -16.350624529298948, 29.870350953848103, 11.00514419007285, -27.38310191812889, 28.283690085441172, -33.65479973880028, -30.495029783632422, -51.28487983154564, -14.38016189970877, -5.892175145615384, -21.30036105828782, -23.666086454196055, 30.101601718987425, 2.712150003894514, 8.264615129998583, 11.35356865609556, -19.955384471723946, 4.577094599653368, 14.55918506409295, -27.818367020683148, -46.81021274765103, -8.648342486377068, -48.41540883771064, 15.519924214507537, 33.49823108423368, -0.3094904696591868, 41.54095749510563, 3.96493559926994, 2.496252931331054, 6.189336170084235, 24.886486116207113, 3.695958647142259, 10.114369480262987, 83.40257895652694, 67.93556399431874]",0.9999675843392685,0.0018115408796196182,0.004161848510531349,2.2644847236003737e-05,0.014890604357077467,455.1212420463562
14,Simulated Annealing,108,8,230,90,"[5.228262404843846, -39.402828968885196, 9.211444224011892, 49.106593331667014, -33.32654981043767, -33.7462066393491, 18.863596929881762, -2.1089844436454186, 6.044143746427663, -22.78195511391226, 31.804540898269313, 43.61057572297721, 12.136209192318969, -25.440831478696055, -7.62044273198516, -19.412562981670668, 33.237303102688294, 32.85920605867162, -36.27094707651202, 75.3222178096471, -18.530204206997503, -12.565550654417212, -6.280335238008114, 68.70811748342479, 46.178862420910534, -4.276804157886108, 27.657905326251523, 29.12098650021488, 5.965158272557633, 12.636242390004425, -7.463583829546566, 21.964950948820405, -64.14820986236472, 22.524312855754758, 33.61617372582557, 44.41971773603653, 21.010228718508326, 2.8465856132755007, -73.33919971979668, 26.693299325247025, 27.34657447894828, -73.26504045607625, 0.33121412733362504, 43.182017909418754, 76.78558320571364, -19.51718691123441, 38.68314470081472, -54.49972034036781]",0.9999731600641153,0.00164556995635697,0.003881860933569783,2.057011369345808e-05,0.16948487309307558,448.2303977012634
15,Simulated Annealing,201,101,357,217,"[50.873539196088394, 12.627449825866476, 17.850723296310427, 1.7210369383895705, -51.53537774007086, -15.943146821748385, -52.27413072370455, -37.93278770607729, -35.85538969523189, 33.77639746701315, -21.515981888395885, 23.82409249137219, 16.062650391569505, -9.376723984048319, -5.217736879651375, 9.551404193555326, 5.655094190648455, -15.857017160271164, -30.188642252472516, 8.6049115506594, -28.534013652689424, 38.66374752797865, -87.3036289028077, -2.075025737746782, 11.648643944381291, -45.030811713666246, 44.562069530667735, -49.23455675312505, 10.677691394388416, 3.02039476675156, -18.03584663478068, 5.642795973147965, -66.73148122497754, -31.144550257937013, -45.93102031580209, -27.79859139598063, 7.202625457497039, -23.220299693538994, 1.3874131981831628, 28.500723495852938, -58.46596502740711, 31.809920214089853, -1.3870406654543799, 10.347254243975067, 28.04740182224908, -30.187295066696752, -40.58208211211261, -58.53323846900549]",0.9999677144970496,0.0014269111707108095,0.0030468236657815177,1.7836958067300868e-05,0.24693056516827105,451.9044613838196
16,Simulated Annealing,298,198,947,807,"[-134.86994221521724, -152.95353910452917, -31.821708129174397, 135.63298120483893, 10.960419147062396, -173.91557050471866, -177.04240229803838, -141.90038567290065, 161.87195877772461, -57.90538364703687, 166.4977779034254, -26.359575551863117, -138.0215326145543, -6.8373581636484175, 70.64893378367032, 117.80831502717018, -126.40270119949005, 17.429016012658025, 29.942137106265164, -125.88248601850319, 107.2996302359577, 29.581270068412977, -84.84784990140443, 176.66983249170238, 124.6509939179627, 42.721774450781766, 60.010429318291756, -155.33227943157502, -106.17516745003977, -177.97853350856215, -61.61550520059362, -67.64131070926791, -59.872025110550624, 140.67966462529313, 6.610827023064616, 27.33659901055171, -114.47890617400128, -129.87577964847853, 120.87392444394862, 120.3892025770744, -38.8571490737495, -72.44517155352165, -8.960553117826208, 159.80439012083576, 70.13446333840028, -171.03697758768482, 19.59169682819308, -130.20305061096812]",0.9999801794279389,0.001975343839148991,0.003397351650288811,2.4692417580486357e-05,0.07055038989617544,451.24086260795593
17,Simulated Annealing,295,195,630,490,"[-36.751677014607196, -14.08023250765996, 19.842605679956144, -7.626514033269568, -55.75649858154513, 3.04008572118729, -44.85901023329525, -2.395543907896025, 51.428711118229366, -13.245640986293111, -36.96155270121355, -17.823551984206564, -22.244552198289803, 21.38453059490112, -4.977844582194981, -52.7658845980713, 64.42027802981794, 36.12821634300481, 46.4388148335076, -42.165960368829374, -34.85406532034323, -0.602571858548496, -7.075884568443945, 10.143542295816596, 20.540348726226206, 6.7834584789589645, -35.22490010212181, -26.695328184908675, 51.670311759718516, 27.148051705222525, 67.56149630140736, -4.487362458934554, -8.021242990620523, -20.145202031568815, -32.06029277121939, 15.153689752357684, -35.54747892081816, -13.416363564266845, -32.053057005794386, 104.1308127393916, -18.87382194057308, 0.8957815426542772, 35.6033674709177, 21.15145979667561, 45.36653055215029, -23.97309934380111, -14.390015800154707, 10.240141118958919]",0.9999741862473078,0.0014780475709509724,0.002947323493887437,1.8476117870622856e-05,0.2142734907320726,450.5723795890808
18,Simulated Annealing,264,164,445,305,"[-18.520330112412402, 14.332323681340569, -30.296511342574746, -77.1194623565267, 10.393723589167154, -26.57391504981952, 29.399207590716188, -83.12966857807652, -20.890070206025033, -15.628437679662781, 59.78759540387496, 3.2163938905580394, -48.18557991345496, 34.837249469326096, -36.6328245119478, -59.55139655320766, -20.85288846122068, 16.272066499336127, -9.993992590208627, -27.551408576793587, -17.477787201917383, -56.26472218817915, -24.12980625694171, -13.597859629213701, 42.55986050311379, -26.021246806921646, -7.323983607866977, 12.101852870882613, 11.139044119579953, 41.33371598632579, -84.44737741119111, 23.578322940752958, 23.849372134473015, -35.87318228300217, 60.10336753512776, -7.676705294591937, 31.29198496983075, -42.7361117330876, 20.91009195249687, 37.798883767029515, -12.31969238005965, 39.40329704001239, -7.439427242878345, -6.4891288432709295, 51.938717278277416, 21.13695223508891, -54.12832986851301, -49.29337983196025]",0.999969972519168,0.0015755212273991979,0.0030254209859442494,1.9694587146669966e-05,0.030881679848070397,448.03355288505554
19,Simulated Annealing,255,155,447,307,"[22.73130497624925, -16.89881230122097, -14.221332185952491, 145.70539106261748, 20.515672044865056, -44.115099201904, -35.27970134762745, 54.43118128115864, 73.92498806295015, -1.5233421034091066, -116.09430417456754, -43.84965645534868, 57.53294624742418, -108.15365803962636, 87.73531337533069, 160.7542576951107, 21.428752048048494, 9.484778494558924, 4.208424746470627, -8.991165561656942, 50.79920399769719, -178.34394515508762, -108.37269592960396, -11.125532354580912, -1.5421150070787348, 109.19555564651336, -5.894459817357642, 103.10793810737238, 68.74133211482965, 37.81191961312538, -123.80753555958037, 114.00748086218692, -50.23212026037285, 48.76260430497709, -132.7674548209078, 153.58594291928267, 128.8803556613144, 113.83251569638355, 146.34732703630294, 9.299840397486662, -142.60256937815873, 39.069694000500306, 28.46930471171561, -100.05290346213589, 140.96845477722468, -145.66586368392774, 118.1206802737509, -133.28592986130906]",0.9999685774294559,0.001702876232836085,0.00419720684337276,2.1286662388271507e-05,0.15238307533116496,450.7396922111511
20,Evolutionary Algorithm,703,603,770,630,"[10.2226137590865, -137.64425253484927, 113.11145992674517, 53.76231835421285, -3.9185319588669927, -85.44209585950361, -39.96488821823294, -42.245829526005, 129.62213966216996, -121.85225063866534, 126.76750378073706, 141.26501879394505, -109.94739709864915, 39.5195242243357, 53.27930149123878, 125.7372856418715, -52.04135899142079, 8.474198849776485, 45.36631412945977, 86.24096843049045, -75.72985521363822, 10.864487615770003, 169.3501510915575, 1.8733174947586804, 175.30788137121493, -20.929548293477524, -176.58953901665575, -86.98995444085969, -69.5610036669656, 109.0716919273828, -40.32753133719257, -23.326070559631518, 142.6706326928558, -117.40451215413506, -81.29866285631554, 95.90812784444654, -130.7669167592099, -122.00820213166682, 29.816497865890767, -69.72348308826268, -164.34653278814014, -137.197609561121, -49.938548930127894, 20.80120098303476, -3.309332296656436, -82.674954451767, 176.51797157832937, 60.9165951312836]",0.9999703174621486,0.0009897180376962449,0.0025347598828083413,1.2372108804679252e-05,0.2385352169800518,399.2864899635315
21,Evolutionary Algorithm,426,326,430,290,"[63.27434170700943, -79.69707715121578, 168.8974169719079, -42.103464292504896, -57.72265780377006, -130.95563307483624, -167.01295562036253, -13.892727463777618, -175.4944543436921, 155.1383194470153, 31.859252738182136, -114.99861491910265, 3.038983538440476, -16.79809954899227, 52.33421363192156, -128.179668689297, -18.31328573853486, 162.49254418482963, 46.473701026554835, 41.179313494145504, -36.46411911429999, -22.57230216781619, 42.34356432391397, -112.90042687435042, -110.53245147093321, -46.231814842086635, -143.1607273133244, -83.0039915846962, -25.524652412852674, -147.62074956097206, -80.59694010692972, -87.53606361512561, -110.25348089142211, 160.25221740903623, -84.15487118230065, -6.740454409722929, -3.9294744137992836, -50.762737923662996, 149.11405333360545, -108.35698835065867, -145.2403612778141, 169.00928157998084, -36.8354506074665, 12.87271481111452, 69.992257436715, -99.19904986175723, 177.24742662117558, -2.7670574710395783]",0.9999705977316058,0.00102663179859519,0.002539162799268136,1.2833519765276531e-05,0.1584444344478068,399.57398891448975
22,Evolutionary Algorithm,31,69,41,99,"[84.33821146591532, -149.23799712657788, 31.903109860433972, 40.76212357726638, -18.053486239280573, -128.03943447629538, -114.85211788487368, -7.985247270259862, 35.09641723864257, 111.08275229460429, -45.36937177228717, 82.32326181889414, 30.7966438386716, 124.25945655507178, 101.63700111860646, -2.941354214088733, 11.238136822617122, -36.3324902688783, -88.84014570065462, -54.226929655385916, 45.85866754534598, -4.966647479942367, -0.7790754100950892, 67.79758179236282, -57.5270175751063, -145.9535565502767, 138.73110129532472, 63.0821047707621, 17.606581337314083, 121.42871561921618, 46.62450276941905, 49.20097843808753, 1.348806936789174, -15.70654160550157, 147.6784557231049, -178.4066233030225, 72.435734540015, 147.84648629550463, 166.71999219033847, -126.00553305621727, -162.56787631888088, -82.9693570156709, -115.85667120197381, 170.66956589737822, 9.902811140035709, 133.96850648877034, -89.75551756624661, -152.28865526561913]",0.9999656492997102,0.0013108043300841627,0.0035249079388417863,1.6385626074918278e-05,0.05941461213659076,396.3969876766205
23,Evolutionary Algorithm,16,84,29,111,"[-2.445147647994304, 41.024665211001206, -67.01258696320724, -37.97885099284272, -82.86529464044558, 101.63594339060165, -15.30894995273988, 153.58983451708184, 31.028572866214574, -106.23793476662532, 42.32378821168709, -34.234350459632196, 22.47125755393904, -58.61787688697048, 128.56829707045677, -0.5213215218638254, -145.99847929985293, 124.99362827630398, 136.03133152280515, 64.71934735075888, -43.23772461630972, -31.477487458480823, 168.81516541095755, 39.14619963038231, 172.85609261216268, -56.56004127455469, 9.283948389255073, 78.9127845145178, 114.98565805700406, 72.33599961629568, 66.01291427526621, -47.937893470923655, -150.8611649866612, 25.66764713110598, -62.82253571812815, -138.934892649306, 138.67724167139954, 138.49755995053135, -73.08995124407112, 49.59349534094713, 143.33776879327576, 142.55210987531223, 19.285981667436772, -175.53084779567553, -123.99181473697891, -24.26534314673009, 157.96204575867318, -84.40201708909323]",0.9999744446727752,0.0011357544717611745,0.0025258400729450173,1.419746641808122e-05,0.16257203614575286,403.0940864086151
24,Evolutionary Algorithm,333,233,986,846,"[-115.31450874135285, -89.9828083908332, -37.89707122365553, -84.74905754893211, 8.248363926490299, -148.24471202509616, 85.34876721269205, 44.24862169367748, -83.03631422480156, -63.632490676844114, 138.0678612555581, 63.09657819000091, 169.71213229924564, -150.27283914835553, 88.08308637152123, 64.53003863467214, -178.8028853838754, 116.70680437532519, 135.4163061228574, -160.84106606604047, -25.003394867221857, -71.94303817056884, 161.9194928843903, -13.973037348635131, -114.98523426856332, 49.86669314947724, -6.375043640904835, -13.338346873002962, 19.045273824974885, 19.714178478714217, -178.8848439292855, -82.090915547239, 64.77586676874495, -153.08897058163154, 178.12362916800265, -21.278221559869507, 101.84969556068137, -177.03250678332, -42.62399154072699, 31.60768395276824, 138.94321606113874, 154.0829748455282, 75.74886718300917, -124.30748138456167, -118.44074753769937, 36.65492620159898, 27.140204373819614, 79.17221478747871]",0.9999759684670254,0.0024508190350995087,0.004325679984043409,3.063588181995324e-05,-0.07325518679467447,404.9873809814453
25,Evolutionary Algorithm,47,53,467,327,"[-47.07999299632755, -120.12728961817025, -94.21588537590402, -118.51250632597669, -44.00992745934553, -87.16859379306591, -30.009779496656165, 148.51604119365288, 177.95524544230705, -166.97343541212902, 34.29093604538994, -157.50458239784558, -154.85066317307005, -66.21489145538017, 160.74514889356067, 74.98453608005968, 124.556384888553, 93.76849442315938, -47.18481837150824, 25.931420735644792, 68.37980179302113, 42.490640706600715, -150.4861260711496, 70.41105050470946, 92.31244311429157, 50.9617195038206, -91.30219929608073, -178.33494034920147, -166.25129974637463, 109.04858202065174, -176.02277228665423, 112.96605879648996, -66.7008313048992, 0.7771449319163537, 30.333191678096, -100.67422120616293, -17.371528870992506, -86.41583969072461, -89.64498410935268, 138.55265729139734, 45.97548391501806, -36.25884579571172, 3.124396829874229, -50.76053031770019, -166.01198435304124, -33.8608377845099, -70.98212721933137, -178.8598996057355]",0.9999845412073598,0.005218002431017036,0.008757866957300516,6.522568319645493e-05,-0.2235907098155046,400.3597004413605
26,Evolutionary Algorithm,30,70,60,80,"[-9.084133223471696, 78.52712044575065, -15.896184958317917, 10.488689311570056, -174.7877444934018, 32.49714274057931, -160.49716936596266, 54.703342114637195, 30.1040257057671, 160.93426142262012, 118.23748863068607, 100.52473462190738, 121.42452602001953, 15.140810999218559, -172.86649944016568, 28.39924719657779, -172.68236781050928, 159.19410775360512, -118.73524489584628, 108.21418551310956, 175.8558441909854, -114.10608791245257, 154.04012605776688, -157.60642115458595, 89.51858408334095, -102.98096577479224, 156.88127461119143, 107.90937628837185, -31.972522089862196, 143.8633662725706, 105.46217668496962, -98.490690943007, -49.05448187794357, -56.28468588805322, 44.235388721440614, 61.2721351137526, 44.39699309491252, -155.933130226642, -23.77970324222207, 136.08472948166445, -40.124841199891506, -76.53248110621632, 19.37454425304179, 109.2757749137948, 39.187101084768216, -34.15863699204954, -9.054472467610026, 64.00542666696253]",0.9999657007310361,0.0017096890611962103,0.003911471135965402,2.1371608333991263e-05,0.26124830171094293,399.15627694129944
27,Evolutionary Algorithm,316,216,996,856,"[-15.685451818330193, -54.80952485369589, 39.46617763677301, -142.80207610543812, -28.898462941787045, -154.06559224032503, -58.569356836358025, 121.7327503016632, 147.1323060617014, 107.79834474551905, 55.30926045938125, -107.33834331466757, 4.6093061632627155, 138.67902606716171, 146.0962950725227, 148.0837643963759, -125.43877960701465, -146.50429402540533, 7.7867584723071275, 112.06878694245762, 151.39704559046385, 173.9365503059318, -178.09973518832064, -116.40103300631597, 10.820592979783044, -132.82581624989993, 20.880851349211184, -12.879208339600325, 90.70569659976468, 115.23178699843123, 15.752682570803302, -123.59415119555129, -80.17633027417664, 37.431209369906014, -76.76334121739787, -66.90593917527721, 127.43058117715151, 169.11826332673218, -156.31429331553332, -54.38287132914975, 7.396919412896267, 122.04858613126805, 118.71806675412637, -171.04891915395177, -163.53138797416213, 4.522013328523769, 68.67561913362223, 26.3314570720064]",0.9999710858308454,0.0031640347782134395,0.006060351096507515,3.9551153046737726e-05,-0.05637469857922278,401.70085740089417
28,Evolutionary Algorithm,50,50,84,56,"[14.927989068440723, 51.735120929578585, 154.00312702290898, -161.04139033468073, -130.07679790577072, -175.7470180876435, -9.016584508997397, 171.43244946030853, 125.50591722825959, -19.32352817106684, 64.49972085602644, 57.70603531641703, -27.532675667551786, 171.1285656764012, 172.50667312646198, -83.35324113958433, 103.34161772775599, -155.42971649223935, -155.23129386447215, -44.732376432195906, 16.301916459933352, 104.56269832764133, 118.44068821621022, 147.40893990168524, 82.11080792211754, 174.82565962646828, 170.82724651513894, -157.20290063575976, 80.278529622875, 151.4770335188984, -29.802018881728657, -113.81102302866661, 47.759246466009614, -91.14104200897202, -165.04837435821764, 73.35092274382333, -87.44375635297169, -91.82606304234423, 37.86614182982248, -114.25227044232159, -50.23354897570724, -80.72373529541682, 130.76088343473555, 21.65322226081568, 101.77488355196954, -34.16838194127999, 20.730540545973412, 91.54822416628167]",0.9999690432595517,0.0017624115813911585,0.0043781078121205436,2.2030833768970997e-05,0.014467225530197927,396.0152654647827
29,Evolutionary Algorithm,392,292,911,771,"[-76.12737674838813, -110.7116217833699, -114.30062629565614, -28.47658700157305, 86.39891007939536, -50.37140696923933, 9.417190884845951, -89.21072939145182, 169.20322480301883, -169.0959822425554, -116.5656079758825, 160.04603896634035, 125.5246248343737, 110.00096233658769, -38.52712097971809, 2.6255722308420104, -155.38936349292862, 100.88219381513198, -15.028680090099499, 35.825205491803786, -155.45404084184776, -42.04401522112394, -150.2063354530407, -42.277729843015976, 145.28538637378682, 150.1234004925085, -106.57359990785446, -149.70800783303892, 168.62983621798065, -153.91091299686994, -49.943805937633556, 105.61120005663543, 17.55432424202405, 82.48443887089456, 173.9933806195835, -100.99596994996651, -25.886958683384364, 20.19028191248509, 155.08303425557654, -63.544508009122154, 139.89454846411945, -142.57545636112607, -167.7588831645658, 131.9752045351231, -83.29768677731056, -129.92824908803118, 66.8333386625813, 88.98678891686461]",0.9999754306824031,0.0017119611341816683,0.0036568023194835284,2.140013973503666e-05,0.10288865194465893,399.8966202735901
